ticker,company,sector,sub_industry,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,dividends_paid_usd
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,,,,,1.0,1.0,3.0,11.0,12.0,1.0,756000000.0,439000000.0
CVNA,Carvana,Consumer Discretionary,Automotive Retail,,,,,1.0,1.0,,,,1.0,,
CVS,CVS Health,Health Care,Health Care Services,,,,,1.0,1.0,3.0,,,1.0,2012000000.0,3132000000.0
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,,,,,1.0,1.0,3.0,,,1.0,14939000000.0,11336000000.0
D,Dominion Energy,Utilities,Multi-Utilities,,,,1.0,1.0,1.0,3.0,10.0,11.0,1.0,,2233000000.0
DAL,Delta Air Lines,Industrials,Passenger Airlines,,,,,1.0,0.0,3.0,12.0,14.0,1.0,,128000000.0
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,,,,,1.0,0.0,,,,1.0,750000000.0,
DD,DuPont,Industrials,Industrial Conglomerates,,,,,1.0,1.0,3.0,,,1.0,,651000000.0
DDOG,Datadog,Information Technology,Application Software,,,,,1.0,1.0,1.0,,,1.0,,
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,1.0,,,1.0,1.0,1.0,3.0,,,1.0,7216000000.0,1427000000.0
DECK,Deckers Brands,Consumer Discretionary,Footwear,1.0,1.0,limited,,1.0,1.0,3.0,,,0.0,414931000.0,
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",,,,,1.0,1.0,3.0,6.0,8.0,1.0,2080000000.0,1072000000.0
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,,,,,1.0,1.0,1.0,,,1.0,,517979000.0
DGX,Quest Diagnostics,Health Care,Health Care Services,,,,,1.0,0.0,3.0,10.0,11.0,1.0,275000000.0,314000000.0
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,,1.0,limited,,1.0,1.0,3.0,6.0,8.0,0.0,1200000000.0,341200000.0
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,,,,,1.0,1.0,3.0,,,1.0,0.0,821000000.0
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,,,,,1.0,1.0,3.0,,,0.0,0.0,0.0
DLR,Digital Realty,Real Estate,Data Center REITs,,,,,1.0,0.0,3.0,9.0,10.0,1.0,,1520644000.0
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,,,,,1.0,1.0,3.0,,,1.0,500000000.0,
DOC,Healthpeak Properties,Real Estate,Health Care REITs,,,,,1.0,1.0,3.0,,,0.0,6524000.0,657021000.0
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,,,,1.0,1.0,1.0,3.0,8.0,9.0,1.0,0.0,284297000.0
DOW,Dow Inc.,Materials,Commodity Chemicals,,1.0,limited,1.0,1.0,1.0,3.0,11.0,12.0,1.0,625000000.0,1972000000.0
DPZ,Domino's,Consumer Discretionary,Restaurants,,,,,1.0,1.0,3.0,,,1.0,269025000.0,169772000.0
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,,,,,1.0,1.0,5.0,8.0,9.0,1.0,453900000.0,628400000.0
DTE,DTE Energy,Utilities,Multi-Utilities,,,,,1.0,0.0,3.0,11.0,13.0,1.0,0.0,752000000.0
DUK,Duke Energy,Utilities,Electric Utilities,,,,,1.0,0.0,3.0,,,1.0,,
DVA,DaVita,Health Care,Health Care Services,,,,,1.0,1.0,3.0,,,0.0,272219000.0,0.0
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,,1.0,reasonable,,1.0,1.0,3.0,,,1.0,979000000.0,1858000000.0
DXCM,Dexcom,Health Care,Health Care Equipment,,,,,1.0,1.0,1.0,,,1.0,688700000.0,
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,,,,,1.0,1.0,3.0,11.0,12.0,1.0,1401000000.0,528000000.0
ECHO,EchoStar,Communication Services,Wireless Telecommunication Services,,,,,0.0,1.0,,,,0.0,,
ECL,Ecolab,Materials,Specialty Chemicals,1.0,,,,1.0,1.0,3.0,12.0,13.0,1.0,13700000.0,617300000.0
ED,Consolidated Edison,Utilities,Multi-Utilities,,,,,1.0,1.0,3.0,,,1.0,1000000000.0,1096000000.0
EFX,Equifax,Industrials,Research & Consulting Services,,,,,1.0,1.0,3.0,9.0,10.0,0.0,0.0,191800000.0
EG,Everest Group,Financials,Reinsurance,,,,,1.0,1.0,1.0,,,0.0,0.0,288000000.0
EIX,Edison International,Utilities,Electric Utilities,,,,,1.0,0.0,3.0,,,0.0,0.0,1112000000.0
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,,,,,1.0,1.0,3.0,,,1.0,271000000.0,925000000.0
ELV,Elevance Health,Health Care,Managed Health Care,,,,,1.0,1.0,3.0,11.0,12.0,0.0,2676000000.0,1395000000.0
EME,Emcor,Industrials,Construction & Engineering,1.0,,,,1.0,0.0,,9.0,10.0,1.0,127713000.0,32684000.0
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,,,,,1.0,0.0,3.0,,,1.0,2000000000.0,1198000000.0
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,,,,,1.0,0.0,3.0,,,1.0,1038000000.0,
EQIX,Equinix,Real Estate,Data Center REITs,,,,,1.0,1.0,1.0,,,1.0,,1375000000.0
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,,,,1.0,1.0,1.0,3.0,,,0.0,201029000.0,228339000.0
ERIE,Erie Indemnity,Financials,Insurance Brokers,,,,,,,,,,,,221675000.0
ES,Eversource Energy,Utilities,Electric Utilities,1.0,,,1.0,1.0,0.0,3.0,,,0.0,,918995000.0
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,,1.0,limited,,1.0,1.0,3.0,8.0,9.0,1.0,95657000.0,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,,,,,1.0,1.0,3.0,,,0.0,0.0,1379000000.0
ETR,Entergy,Utilities,Electric Utilities,,,,,1.0,0.0,1.0,,,1.0,,918193000.0
EVRG,Evergy,Utilities,Electric Utilities,,,,,1.0,1.0,3.0,,,1.0,,569600000.0
EW,Edwards Lifesciences,Health Care,Health Care Equipment,,,,,1.0,1.0,3.0,,,1.0,879600000.0,
EXC,Exelon,Utilities,Electric Utilities,,,,,1.0,1.0,3.0,,,0.0,,1433000000.0
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,,1.0,limited,,1.0,1.0,,,,1.0,355000000.0,487000000.0
EXPD,Expeditors International,Industrials,Air Freight & Logistics,,,,1.0,1.0,1.0,3.0,,,0.0,1392886000.0,202029000.0
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,,,,1.0,1.0,3.0,,,0.0,2137000000.0,0.0
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,,,,,0.0,1.0,3.0,9.0,10.0,1.0,0.0,1046341000.0
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,,,,,1.0,1.0,3.0,,,1.0,335000000.0,4995000000.0
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,,1.0,limited,1.0,1.0,1.0,3.0,,,1.0,840000000.0,1444000000.0
FAST,Fastenal,Industrials,Trading Companies & Distributors,,,,,1.0,0.0,,9.0,11.0,1.0,0.0,1016800000.0
FCX,Freeport-McMoRan,Materials,Copper,,,,,1.0,1.0,3.0,10.0,12.0,1.0,0.0,863000000.0
FDS,FactSet,Financials,Financial Exchanges & Data,,,,,1.0,1.0,5.0,,,1.0,176720000.0,138601000.0
FDX,FedEx,Industrials,Air Freight & Logistics,,1.0,limited,1.0,1.0,1.0,,,,1.0,2500000000.0,1259000000.0
FDXF,FedEx Freight,Industrials,Cargo Ground Transportation,,,,,,,,,,,,0.0
FE,FirstEnergy,Utilities,Electric Utilities,,,,,1.0,0.0,3.0,,,1.0,,906000000.0
FERG,Ferguson Enterprises,Industrials,Trading Companies & Distributors,,,,,1.0,1.0,3.0,,,1.0,908000000.0,711000000.0
FFIV,"F5, Inc.",Information Technology,Communications Equipment,,1.0,,,1.0,1.0,3.0,,,1.0,350049000.0,
FICO,Fair Isaac,Information Technology,Application Software,,,,,1.0,1.0,1.0,,,0.0,405526000.0,
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,,1.0,limited,,1.0,1.0,3.0,,,0.0,522000000.0,1231000000.0
FISV,Fiserv,Financials,Transaction & Payment Processing Services,,,,,1.0,1.0,3.0,,,1.0,,
FITB,Fifth Third Bancorp,Financials,Regional Banks,,,,,1.0,0.0,3.0,,,1.0,200000000.0,1060000000.0
