ticker,company,sector,environmental_score,transition_score,governance_score,n_pillars_available,data_confidence_pct,final_score
FFIV,"F5, Inc.",Information Technology,82.15575728619206,82.20060766886147,79.84858959225156,3,87.16666666666666,81.40165151576835
FICO,Fair Isaac,Information Technology,29.34734830387004,79.53013696268107,39.1501273402285,3,87.64285714285714,49.342537535593195
FIS,Fidelity National Information Services,Financials,6.975881261595547,72.57108877525394,63.00263709413085,3,77.16666666666666,47.51653571032678
FISV,Fiserv,Financials,1.064935064935061,72.92789809829429,77.20826161790016,3,83.47619047619048,50.40036492704317
FITB,Fifth Third Bancorp,Financials,2.12987012987013,72.79260442370452,47.57244672856415,3,83.47619047619048,40.8316404273796
FIX,Comfort Systems USA,Industrials,14.467974176866976,72.90784309430089,50.56514376607707,3,83.47619047619048,45.98032034574831
FLEX,Flex Ltd.,Information Technology,7.862398471094123,73.88227106169914,75.8949834425421,3,78.0,52.54655099177845
FOX,Fox Corporation (Class B),Communication Services,14.857142857142858,74.99377080841407,52.24912871100607,3,83.47619047619048,47.366680792187665
FRT,Federal Realty Investment Trust,Real Estate,43.6,61.412124216035615,54.45381526104417,3,83.53276353276352,53.15531315902659
FSLR,First Solar,Information Technology,22.157668418537984,90.13631311710031,70.92254733218587,3,93.47619047619047,61.07217628927472
FTNT,Fortinet,Information Technology,55.43621595795509,80.73410352419725,52.279148829878416,3,93.47619047619047,62.81648943734359
FTV,Fortive,Industrials,73.2958195164719,76.87799425515625,51.31991498920708,3,87.64285714285714,67.16457625361174
GD,General Dynamics,Industrials,46.669508902288,72.39442131090111,44.539819555426064,3,84.66666666666667,54.53458325620505
GDDY,GoDaddy,Information Technology,19.217391304347828,74.67551243124468,39.95599020865988,3,83.47619047619048,44.61629798141746
GE,GE Aerospace,Industrials,5.000304525245139,75.29691735453352,58.38164074985061,3,81.33333333333333,46.22628754320976
GEHC,GE HealthCare,Health Care,40.526315789473685,87.00086355652758,88.12553303943591,3,92.5,71.88423746181239
GEN,Gen Digital,Information Technology,40.53129479216435,78.90263138323093,55.6168102225272,3,87.64285714285714,58.350245465974155
GEV,GE Vernova,Industrials,9.385064242320794,68.85493058478596,76.61351920460075,3,81.33333333333333,51.617838010569166
GILD,Gilead Sciences,Health Care,68.7994163358105,74.93219842850212,48.15771653344632,3,90.5,63.963110432586305
GIS,General Mills,Consumer Staples,45.95000450903095,92.6857935425118,37.43497235021978,3,98.80952380952381,58.690256800587505
GL,Globe Life,Financials,13.844155844155845,71.45006993227133,49.81568058838688,3,83.47619047619048,45.03663545493802
